GMT Date/Time,Cruise,Station #,Station Name,Alternate Station Name,Latitude,Longitude,Depth (m)
  Aug 07 2017  01:24:37,AMBON 2017,1, DBO3.8,,67.666333,-168.955667,48
  Aug 07 2017  05:51:58,AMBON 2017,2, DBO3.7,,67.7835,-168.6045,51
  Aug 07 2017  09:14:03,AMBON 2017,3, DBO3.6,,67.897167,-168.237333,59
  Aug 07 2017  12:36:25,AMBON 2017,4, DBO3.5,,68.011833,-167.8665,51
  Aug 07 2017  16:26:32,AMBON 2017,5, DBO3.4,,68.124167,-167.4975,51
  Aug 07 2017  18:37:33,AMBON 2017,6, DBO3.3,,68.1855,-167.304833,48
  Aug 07 2017  22:00:37,AMBON 2017,7, DBO3.2,,68.242667,-167.1245,48
  Aug 08 2017  01:02:35,AMBON 2017,8, DBO3.1,,68.298333,-166.936667,35
  Aug 08 2017  09:09:32,AMBON 2017,9, CL3,,69.033333,-168.893333,53
  Aug 08 2017  13:30:56,AMBON 2017,10, CL2.5,,69.030167,-168.411667,51
  Aug 08 2017  15:02:09,AMBON 2017,11, CL2,,69.028833,-167.934333,50
  Aug 08 2017  18:26:00,AMBON 2017,12, CL1.5,,68.999833,-167.435333,48
  Aug 08 2017  20:07:22,AMBON 2017,13, CL1,,68.948833,-166.9085,47
  Aug 08 2017  23:27:43,AMBON 2017,14, CL0,,68.899,-166.426,32
  Aug 09 2017  16:54:02,AMBON 2017,15, ML6.1,,70.087,-163.960167,33
  Aug 09 2017  21:18:21,AMBON 2017,16, ML6.2,ML1.3,70.267167,-163.408333,32
  Aug 10 2017  01:27:57,AMBON 2017,17, ML6.3,,70.389333,-163.025333,33
  Aug 10 2017  04:44:59,AMBON 2017,18, ML6.4,,70.509333,-162.642833,37
  Aug 10 2017  08:25:10,AMBON 2017,19, ML6.5,,70.626667,-162.247167,41
  Aug 10 2017  11:01:52,AMBON 2017,20, ML6.6,,70.7255,-161.939667,42
  Aug 10 2017  14:06:17,AMBON 2017,21, ML6.7,ML3.4,70.8435,-161.537667,46
  Aug 10 2017  17:55:53,AMBON 2017,22, ML6.8,,70.960333,-161.136333,45
  Aug 10 2017  21:24:22,AMBON 2017,23, ML6.9,,71.074333,-160.738667,56
  Aug 12 2017  03:25:34,AMBON 2017,24, ML6.10,ML4.4,71.194167,-160.270167,54
