"station","strat","cruise"
"DBO3.8",0.00486200000000004,"AMBON2017"
"ML1.1",0.0112153846153847,"AMBON2017"
"ML1.10",0.0184682926829269,"AMBON2017"
"ML1.11",0.0141255813953489,"AMBON2017"
"ML1.12",0.0152777777777778,"AMBON2017"
"ML1.13",0.018895744680851,"AMBON2017"
"ML1.2",0.000228571428571403,"AMBON2017"
"ML1.3",0.02558,"AMBON2017"
"ML1.4",0.0268714285714286,"AMBON2017"
"ML1.5",0.0317162790697675,"AMBON2017"
"ML1.6",0.0225088888888889,"AMBON2017"
"ML1.7",0.0201153846153846,"AMBON2017"
"ML1.8",0.019785,"AMBON2017"
"ML1.9",0.0207219512195123,"AMBON2017"
"ML3.1",0.000631250000000083,"AMBON2017"
"ML3.10",0.0269175,"AMBON2017"
"ML3.11",0.0292864864864865,"AMBON2017"
"ML3.12",0.0262891891891892,"AMBON2017"
"ML3.13",0.026345945945946,"AMBON2017"
"ML3.14",0.0185365853658536,"AMBON2017"
"ML3.2",0.0187666666666667,"AMBON2017"
"ML3.3",0.00255238095238092,"AMBON2017"
"ML3.4",0.000759090909090916,"AMBON2017"
"ML3.4A",0.0185214285714285,"AMBON2017"
"ML3.5",0.0425139534883722,"AMBON2017"
"ML3.5A",0.0426386363636364,"AMBON2017"
"ML3.6",0.0359977777777778,"AMBON2017"
"ML3.6A",0.0274953488372093,"AMBON2017"
"ML3.7",0.0280772727272728,"AMBON2017"
"ML3.7A",0.0268568181818182,"AMBON2017"
"ML3.8",0.0283674418604651,"AMBON2017"
"ML3.8A",0.0262317073170732,"AMBON2017"
"ML3.9",0.0298825,"AMBON2017"
"ML3.9A",0.0259609756097561,"AMBON2017"
"ML4.1",0.00361071428571424,"AMBON2017"
"ML4.10",0.04539375,"AMBON2017"
"ML4.11",0.0333861111111111,"AMBON2017"
"ML4.12",0.0337583333333334,"AMBON2017"
"ML4.13",0.0244428571428571,"AMBON2017"
"ML4.14",0.0309702127659575,"AMBON2017"
"ML4.2",0.0246255813953489,"AMBON2017"
"ML4.3",0.0250222222222223,"AMBON2017"
"ML4.5",0.0298913043478261,"AMBON2017"
"ML4.6",0.0270755555555555,"AMBON2017"
"ML4.7",0.0275,"AMBON2017"
"ML4.8",0.0367604651162791,"AMBON2017"
"ML4.9",0.0387897435897436,"AMBON2017"
"ML5.1",0.018690243902439,"AMBON2017"
"ML5.10",0.0262357142857143,"AMBON2017"
"ML5.2",0.0200725,"AMBON2017"
"ML5.3",0.0209414634146341,"AMBON2017"
"ML5.4",0.0205085714285714,"AMBON2017"
"ML5.5",0.0184690476190476,"AMBON2017"
"ML5.6",0.0247119047619048,"AMBON2017"
"ML5.7",0.0248428571428571,"AMBON2017"
"ML5.9",0.0248069767441861,"AMBON2017"
"ML6.1",0.0424566666666666,"AMBON2017"
"ML6.10",0.02712,"AMBON2017"
"ML6.11",0.0371354166666666,"AMBON2017"
"ML6.2",0.0592857142857143,"AMBON2017"
"ML6.3",0.0343965517241379,"AMBON2017"
"ML6.4",0.029153125,"AMBON2017"
"ML6.5",0.0209972972972972,"AMBON2017"
"ML6.6",0.0232975,"AMBON2017"
"ML6.7",0.00780681818181824,"AMBON2017"
"ML6.8",0.0209069767441861,"AMBON2017"
"ML6.9",0.0233981132075471,"AMBON2017"
