"cruise","station.master","depth","O18","salinity","latitude","longitude","melt.sfc","runoff.sfc","Pac.sfc","latitude.master","longitude.master"
"AMBON2015","CL0",5.218,-3.334067539,30.0745,68.899,-166.4228,0,0.133299711815562,0.866700288184438,68.9,-166.42
"AMBON2015","CL1",4.312,-3.198973976,30.1178,68.9482,-166.908,0,0.132051873198847,0.867948126801153,68.948,-166.9178
"AMBON2015","CL1.5",4.473,-2.548502597,30.738,69.0003,-167.4347,0.00315547159736762,0.111386945877833,0.885457582524799,68.99983,-167.43533
"AMBON2015","CL2",5.568,-2.014886274,31.1475,69.0288,-167.9343,0.0187806835011102,0.0857617584010351,0.895457558097855,69.0298,-167.9342
"AMBON2015","CL2.5",5.177,-1.52505289,31.2009,69.0302,-168.4112,0.0441120516860215,0.0618115277590531,0.894076420554925,69.03017,-168.41167
"AMBON2015","CL3",4.958,-1.030506205,31.7654,69.0335,-168.8928,0.0522905494728688,0.038307784760315,0.909401665766816,69.0032,-168.8938
"AMBON2015","DBO3.1",5.261,-2.67653951,30.0668,68.2993,-166.9358,0.0189275833474435,0.116775884473588,0.864296532178969,68.3,-166.935
"AMBON2015","DBO3.2",3.692,-1.32317531,31.495,68.2427,-167.1243,0.0452813231682188,0.0523015382920947,0.902417138539687,68.242,-167.122
"AMBON2015","DBO3.3",5.434,-0.999926125,31.7788,68.1862,-167.307,0.0535289993490728,0.0368259285297829,0.909645072121144,68.185,-167.308
"AMBON2015","DBO3.4",2.531,-1.235800462,31.9439,68.1248,-167.4978,0.0348295400677285,0.0486119054732201,0.916558554459051,68.128,-167.495
"AMBON2015","DBO3.5",4.454,-1.251337095,31.7482,68.0115,-167.8657,0.0406362263845184,0.049114347262112,0.91024942635337,68.013,-167.867
"AMBON2015","DBO3.6",4.081,-0.152473416,32.4114,67.897,-168.2368,0.0789483099289172,-0.00389374970656359,0.924945439777646,67.898,-168.235
"AMBON2015","DBO3.7",4.831,-1.136930979,32.6858,67.7835,-168.6048,0.0150318371782503,0.0447470489518074,0.940221113869942,67.783,-168.602
"AMBON2015","DBO3.8",5.038,-1.213193399,32.6484,67.6672,-168.955,0.0120790010937176,0.0484373102715525,0.93948368863473,67.67,-168.96
"AMBON2015","ML1.1",4.16,-2.657458112,29.8026,70.0358,-162.7657,0.0289870222091593,0.115489867959044,0.855523109831797,70.03814,-162.76819
