"cruise","station.master","depth","O18","salinity","latitude","longitude","melt.bot","runoff.bot","Pac.bot","latitude.master","longitude.master"
"AMBON2015","CL0",23.033,-3.559755341,30.1892,68.899,-166.4228,0,0.129994236311239,0.870005763688761,68.9,-166.42
"AMBON2015","CL1",40.932,-1.388344925,31.7036,68.9482,-166.908,0.0345616713296488,0.0557739680167085,0.909664360653643,68.948,-166.9178
"AMBON2015","CL1.5",42.327,-1.292182181,32.063,69.0003,-167.4347,0.0276464200107024,0.0515347235063815,0.920818856482916,68.99983,-167.43533
"AMBON2015","CL2",29.761,-0.921819777,31.8721,69.0288,-167.9343,0.0546794254877563,0.0331193555482964,0.912201218963947,69.0298,-167.9342
"AMBON2015","CL2.5",42.655,-1.027659867,31.8244,69.0302,-168.4112,0.0504380790299188,0.0382464257573918,0.911315495212689,69.03017,-168.41167
"AMBON2015","CL3",42.273,-1.010822614,32.14,69.0335,-168.8928,0.0406182695624811,0.0378391678510615,0.921542562586458,69.0032,-168.8938
"AMBON2015","DBO3.1",27.477,-1.846519261,31.1927,68.2993,-166.9358,0.0265729927372491,0.0775651044082552,0.895861902854496,68.3,-166.935
"AMBON2015","DBO3.2",35.547,-1.416127854,31.719,68.2427,-167.1243,0.0324969944989857,0.0571568377199176,0.910346167781097,68.242,-167.122
"AMBON2015","DBO3.3",41.15,-0.446257022,31.9008,68.1862,-167.307,0.0800613666063928,0.00983619726754308,0.910102436126064,68.185,-167.308
"AMBON2015","DBO3.4",44.327,-0.77958842,32.0327,68.1248,-167.4978,0.0570911790585117,0.026357371841605,0.916551449099883,68.128,-167.495
"AMBON2015","DBO3.5",46.672,-1.008400652,32.2588,68.0115,-167.8657,0.0367047799236459,0.0378779036410396,0.925417316435315,68.013,-167.867
"AMBON2015","DBO3.6",54.013,-0.391172596,32.6036,67.897,-168.2368,0.0591689262795714,0.00806668481893839,0.93276438890149,67.898,-168.235
"AMBON2015","DBO3.7",31.281,-1.225913514,32.6897,67.7835,-168.6048,0.00996677485775445,0.0491158504860789,0.940917374656167,67.783,-168.602
"AMBON2015","DBO3.8",43.822,-0.570550086,32.7452,67.6672,-168.955,0.0444016996242993,0.0170509458655336,0.938547354510167,67.67,-168.96
"AMBON2015","ML1.1",11.195,-2.303886101,30.5858,70.0358,-162.7657,0.0218999701217195,0.0991893636098909,0.87891066626839,70.03814,-162.76819
"AMBON2015","ML1.10",37.471,-0.79094466,32.3572,71.1432,-166.0282,0.0454054027730302,0.0273444995639186,0.927250097663051,71.14407,-166.02798
"AMBON2015","ML1.11",37.772,-1.001971808,32.396,71.2663,-166.42,0.0323864643266298,0.0377445402066994,0.929868995466671,71.26598,-166.42171
"AMBON2015","ML1.12",38.332,-1.475921103,32.321,71.3862,-166.82,0.0086714817595005,0.0608871904894334,0.930441327751066,71.38705,-166.8204
"AMBON2015","ML1.13",42.403,-1.258648125,32.3792,71.5073,-167.2205,0.0187316487428719,0.0503094635041452,0.930958887752983,71.50726,-167.22409
"AMBON2015","ML1.2",17.809,-2.212536568,30.7448,70.1407,-163.051,0.0215459276558632,0.0949204616992796,0.883533610644857,70.14024,-163.04788
"AMBON2015","ML1.4",29.713,-1.60051347,31.2104,70.398,-163.765,0.0396056907672157,0.0655246482261234,0.894869661006661,70.39559,-163.76505
"AMBON2015","ML1.5",37.367,-1.37675575,31.6987,70.524,-164.1265,0.0353709957589893,0.0551991478443525,0.909429856396658,70.52219,-164.13038
"AMBON2015","ML1.6",40.484,-1.191189745,31.8781,70.6468,-164.5018,0.0395441797493731,0.046336993708768,0.914118826541859,70.64805,-164.50028
"AMBON2015","ML1.7",33.903,-1.202145546,31.8974,70.772,-164.878,0.0382793277539416,0.0468998454741786,0.91482082677188,70.77323,-164.87508
"AMBON2015","ML1.9",36.841,-1.076699924,32.3423,71.0203,-165.641,0.0300740437953453,0.041337949725732,0.928588006478923,71.02126,-165.63887
"AMBON2015","ML3.1",12.601,-1.631711911,31.7878,70.4958,-160.622,0.0182033172344776,0.0678201199107072,0.913976562854815,70.49558,-160.62168
"AMBON2015","ML3.10",36.331,-0.772231268,32.2115,71.617,-163.7655,0.0514069293810201,0.0262336388473396,0.92235943177164,71.6171,-163.76755
"AMBON2015","ML3.11",33.286,-1.015920955,32.1773,71.7453,-164.1662,0.0390647953955881,0.0381386392321454,0.922796565372267,71.74375,-164.15978
"AMBON2015","ML3.12",33.906,-1.270148575,32.1096,71.8712,-164.556,0.0272799649337892,0.0505159964418638,0.922204038624347,71.87068,-164.55625
"AMBON2015","ML3.13",35.577,-0.843968698,32.0849,71.9935,-164.9537,0.0517441163832406,0.0295837356494098,0.91867214796735,71.99457,-164.95438
"AMBON2015","ML3.14",40.11,-1.149707094,32.2274,72.12,-165.3588,0.0299422101787454,0.0447658255767295,0.925291964244525,72.119,-165.35955
"AMBON2015","ML3.2",21.735,-1.351419226,32.0101,70.5778,-160.8357,0.0261653912077696,0.0543695242052298,0.919465084587001,70.57807,-160.83855
"AMBON2015","ML3.3",34.948,-1.234630606,32.0229,70.7145,-161.1793,0.0322027074929317,0.0486592760797406,0.919138016427328,70.71065,-161.18623
