"FO.2015","FO.2017","FO.tot"
"",66,78,144
"Aglantha digitale",64,57,121
"Brachyura",56,63,119
"Calanus glacialis",62,78,140
"Catablema",25,45,70
"Centropages abdominalis",25,35,60
"Clione limacina",65,78,143
"Decapoda",54,64,118
"Eucalanus bungii",21,29,50
"Euphysa flammea",5,15,20
"Melicertum octocostatum",11,41,52
"Metridia",32,5,37
"Obelia longissima",10,9,19
"Oikopleura",26,22,48
"Paguridae",54,76,130
"Pandalidae",27,6,33
"Parasagitta elegans",62,78,140
"Themisto libellula",19,3,22
"Epilabidocera longipedata",6,15,21
"Mertensia ovum",34,47,81
"Neocalanus cristatus",17,16,33
"Neocalanus flemingeri",27,23,50
"Neocalanus plumchrus",16,15,31
"Halitholus cirratus",6,1,7
"Thysanoessa inermis",14,6,20
"Thysanoessa raschii",23,27,50
"Tomopteris",4,7,11
"Beroe",4,43,47
"Onisimus",1,1,2
"Rathkea octopunctata",12,18,30
"Cyanea capillata",4,15,19
"Mitrocomella polydiademata",6,63,69
"Sarsia tubulosa",6,7,13
"Neomysis rayii",5,1,6
"Hyperiidae",16,33,49
"Thysanoessa spinifera",1,0,1
"Eukrohnia hamata",9,0,9
"Mysida",2,4,6
"Bougainvillia superciliaris",2,9,11
"Hyperoche medusarum",2,40,42
"Ostracoda",1,1,2
"Tiaropsis multicirrata",1,1,2
"Siphonophorae",1,0,1
"Themisto pacifica",3,24,27
"Clausocalanus",1,0,1
"Apherusa",1,19,20
"Bolinopsis infundibulum",1,34,35
"Ctenophora",1,3,4
"Ptychogena",1,0,1
"Aurelia",1,12,13
"Chrysaora melanaster",0,3,3
"Hippolytidae",0,69,69
"Leptothecata",0,1,1
"Sipuncula",0,2,2
"Aeginopsis laurentii",0,16,16
