Station,Bottle #,Date UTC,data type,sigma-t,sigma-t (2),salinity,salinity (2),depth (m),depth (m),temperature,temperature-2,conductivity-1,conductivity=2,V0,V1,V2,V3,V4,V5,V6,V7,altimeter (m),beam attenuation,beam transmission,fluorescence,oxygen (�mols kg-1),PAR,latitude,longitude,
AMBON2015_018,,,min,,,,,9.924,9.823,9.1844,9.1821,3.319774,3.319309,0,2.8327,0.0708,0,4.2735,0,1.0525,1.5055,21.05,0.3924,90.6029,0.0945,273.803,2.81,70.267,-163.40574,7831
AMBON2015_018,,,max,,,,,10.127,10.024,9.1946,9.1861,3.320547,3.319625,0,2.8364,0.0757,0,4.2759,0,1.0611,1.5189,21.22,0.3947,90.6547,0.1068,275.201,2.9,70.267,-163.40574,7879
AMBON2015_018,4,15-Aug-15,mean,23.743,23.7405,30.7256,30.7225,5.558,5.502,9.1979,9.1982,3.32053,3.320253,0,2.8376,0.0708,0,4.2752,0.0502,1.2747,1.7941,25.49,0.3931,90.6388,0.0945,275.28,5.54,70.26706,-163.40542,9415
AMBON2015_018,,0:00:48,sdev,,,,,0.074,0.073,0.0007,0.0008,0.000062,0.000071,0,0.0015,0.0012,0,0.0037,0.0448,0.0035,0.0092,0.07,0.0035,0.0784,0.0031,0.525,0.122,0,0,14
AMBON2015_018,,,min,,,,,5.372,5.317,9.1966,9.197,3.320414,3.320132,0,2.8352,0.0696,0,4.2711,0,1.2698,1.7839,25.4,0.3879,90.5511,0.0915,274.519,5.41,70.26706,-163.40542,9391
AMBON2015_018,,,max,,,,,5.683,5.626,9.1989,9.2004,3.320637,3.320472,0,2.84,0.072,0,4.2808,0.1148,1.2833,1.8168,25.67,0.397,90.7583,0.0976,276.022,5.84,70.26706,-163.4054,9439
AMBON2015_019,1,15-Aug-15,mean,24.0972,24.0955,30.9203,30.9178,28.85,28.555,7.819,7.8172,3.224743,3.224356,0,2.5244,0.0646,0,4.0275,0,0.17,0.0098,3.4,0.6319,85.3869,0.0788,246.482,1E-12,70.38957,-163.02042,2626
AMBON2015_019,,2/25/2013,sdev,,,,,0.168,0.166,0.0004,0.0004,0.000035,0.000033,0,0.0006,0.0028,0,0.0029,0,0.0074,0,0.15,0.0028,0.0614,0.007,0.279,0,0.00001,0,14
AMBON2015_019,,,min,,,,,28.634,28.342,7.8184,7.8165,3.224628,3.224282,0,2.5238,0.0623,0,4.0208,0,0.1587,0.0098,3.17,0.6302,85.2432,0.0732,245.951,1E-12,70.38956,-163.02042,2602
AMBON2015_019,,,max,,,,,29.183,28.885,7.8199,7.818,3.224808,3.224421,0,2.525,0.0684,0,4.0293,0,0.1856,0.0098,3.71,0.6386,85.4244,0.0884,246.849,1E-12,70.38958,-163.02042,2650
AMBON2015_019,2,15-Aug-15,mean,24.0366,24.0348,30.8645,30.8618,19.826,19.624,7.9385,7.9367,3.229065,3.228663,0,2.4877,0.0602,0,4.0456,0,0.6253,0.0098,12.51,0.614,85.77,0.0679,240.998,1E-12,70.38958,-163.01992,4587
AMBON2015_019,,2/26/1935,sdev,,,,,0.147,0.146,0.0022,0.0019,0.00018,0.000156,0,0.0011,0.0029,0,0.0017,0,0.004,0,0.08,0.0017,0.0372,0.0073,0.494,0,0,0.00001,14
AMBON2015_019,,,min,,,,,19.5,19.301,7.9352,7.9341,3.228759,3.228481,0,2.486,0.0574,0,4.044,0,0.6178,0.0098,12.36,0.612,85.7351,0.061,240.324,1E-12,70.38958,-163.01992,4563
AMBON2015_019,,,max,,,,,20.001,19.797,7.9425,7.94,3.229427,3.228915,0,2.4896,0.0635,0,4.0476,0,0.6337,0.0098,12.67,0.6156,85.8128,0.0762,241.772,1E-12,70.38958,-163.01992,4611
AMBON2015_019,3,15-Aug-15,mean,23.7965,23.7954,30.7692,30.7674,10.38,10.275,9.0714,9.0692,3.314357,3.313983,0,2.8165,0.0769,0,4.3094,0,1.0996,0.0708,21.99,0.3613,91.3638,0.1099,272.922,0.014,70.38966,-163.01928,6907
AMBON2015_019,,2/28/2011,sdev,,,,,0.075,0.075,0.0004,0.0007,0.000018,0.000081,0,0.0006,0.0041,0,0.0016,0,0.0032,0.0168,0.07,0.0015,0.0329,0.0103,0.236,0.00407,0,0,14
AMBON2015_019,,,min,,,,,10.163,10.06,9.0707,9.0678,3.314309,3.313869,0,2.8156,0.072,0,4.3077,0,1.094,0.0269,21.88,0.3583,91.3279,0.0976,272.578,0.00369,70.38966,-163.01928,6883
AMBON2015_019,,,max,,,,,10.461,10.355,9.0726,9.0704,3.314395,3.31412,0,2.8181,0.0806,0,4.3126,0,1.1062,0.0952,22.12,0.3629,91.4315,0.119,273.504,0.0201,70.38966,-163.01928,6931
AMBON2015_019,4,15-Aug-15,mean,23.7946,23.7922,30.7662,30.7631,4.51,4.464,9.0674,9.0674,3.313474,3.31317,0,2.8219,0.0722,0,4.3111,0,1.3866,0.4265,27.73,0.3597,91.4003,0.098,273.655,0.152,70.38972,-163.01884,8593
AMBON2015_019,,2:29:21,sdev,,,,,0.068,0.067,0.0002,0.0002,0.00002,0.000018,0,0.0009,0.0004,0,0.0018,0,0.0029,0.0683,0.06,0.0017,0.0388,0.001,0.241,0.0428,0,0.00001,14
AMBON2015_019,,,min,,,,,4.426,4.381,9.0671,9.0668,3.313432,3.313112,0,2.8205,0.072,0,4.3089,0,1.381,0.3407,27.62,0.3572,91.3538,0.0976,273.169,0.106,70.38972,-163.01884,8569
AMBON2015_019,,,max,,,,,4.676,4.629,9.0678,9.0678,3.313518,3.313212,0,2.823,0.0733,0,4.3138,0,1.3919,0.6313,27.84,0.3617,91.4574,0.1007,274.01,0.295,70.38972,-163.01884,8617
AMBON2015_020,1,15-Aug-15,mean,24.4308,24.4287,31.0912,31.0885,32.128,31.799,6.2898,6.2895,3.113637,3.113368,0,2.4549,0.065,0,3.8742,0,0.1719,0.0098,3.44,0.7872,82.1366,0.08,246.34,1E-12,70.50908,-162.64261,2781
AMBON2015_020,,4:50:58,sdev,,,,,0.121,0.12,0.0013,0.0011,0.000099,0.000085,0,0.0013,0.0012,0,0.0002,0,0.0044,0,0.09,0.0002,0.0037,0.003,0.586,0,0,0.00001,14
AMBON2015_020,,,min,,,,,31.978,31.65,6.2883,6.2875,3.113526,3.113196,0,2.453,0.0623,0,3.8742,0,0.1612,0.0098,3.22,0.7859,82.1361,0.0732,245.452,1E-12,70.50906,-162.64262,2757
AMBON2015_020,,,max,,,,,32.418,32.086,6.2925,6.2915,3.113849,3.11351,0,2.4567,0.0659,0,3.8755,0,0.1795,0.0098,3.59,0.7872,82.162,0.0823,247.133,1E-12,70.50908,-162.6426,2805
AMBON2015_020,2,15-Aug-15,mean,24.0883,24.0846,31.0207,31.013,21.143,20.927,8.4345,8.4184,3.285515,3.283426,0,2.7332,0.0723,0,4.3572,0,0.2918,0.0108,5.84,0.3171,92.3784,0.0982,267.065,0.000225,70.50904,-162.64192,4823
AMBON2015_020,,4:52:23,sdev,,,,,0.079,0.078,0.0203,0.0199,0.001708,0.001627,0,0.0024,0.0008,0,0.0039,0,0.0026,0.004,0.05,0.0036,0.0832,0.002,1.49,0.000862,0,0,14
AMBON2015_020,,,min,,,,,20.938,20.725,8.3932,8.3894,3.281995,3.280511,0,2.7302,0.0708,0,4.3516,0,0.2869,0.0085,5.74,0.3121,92.2601,0.0945,265.157,1E-12,70.50904,-162.64192,4799
AMBON2015_020,,,max,,,,,21.243,21.026,8.4686,8.4525,3.288119,3.286263,0,2.7375,0.0733,0,4.3626,0,0.2967,0.0305,5.93,0.3222,92.4931,0.1007,269.387,0.0045,70.50904,-162.64192,4847
AMBON2015_020,3,15-Aug-15,mean,23.8466,23.8442,30.8177,30.8147,10.018,9.916,8.9907,8.9907,3.312259,3.311972,0,2.8081,0.0668,0,4.3048,0,1.2629,0.4772,25.26,0.3656,91.265,0.0844,272.41,0.179,70.50896,-162.64108,7328
AMBON2015_020,,4:54:08,sdev,,,,,0.077,0.077,0.0004,0.001,0.000032,0.000068,0,0.0005,0.0021,0,0.0011,0,0.0154,0.008,0.31,0.001,0.0218,0.0053,0.242,0.00498,0,0.00002,14
AMBON2015_020,,,min,,,,,9.861,9.76,8.9896,8.989,3.312183,3.31184,0,2.8071,0.0635,0,4.3028,0,1.2308,0.4591,24.62,0.364,91.2244,0.0762,271.883,0.168,70.50896,-162.6411,7304
AMBON2015_020,,,max,,,,,10.159,10.055,8.9911,8.9925,3.312309,3.312074,0,2.8083,0.0684,0,4.3065,0,1.2821,0.4921,25.64,0.3674,91.302,0.0884,272.664,0.188,70.50896,-162.64106,7352
AMBON2015_020,4,15-Aug-15,mean,23.8455,23.843,30.8167,30.8135,5.021,4.969,8.9926,8.9929,3.312119,3.311836,0,2.8098,0.0629,0,4.2999,0,1.5165,0.7839,30.33,0.3701,91.162,0.0748,272.491,0.458,70.5089,-162.64036,9062
AMBON2015_020,,4:55:20,sdev,,,,,0.144,0.142,0.0004,0.0004,0.000029,0.000027,0,0.0005,0.0006,0,0.0016,0,0.0048,0.0131,0.1,0.0014,0.0326,0.0015,0.263,0.0165,0,0,14
AMBON2015_020,,,min,,,,,4.861,4.812,8.9922,8.9917,3.312073,3.311769,0,2.8095,0.0623,0,4.2967,0,1.5104,0.7534,30.21,0.3685,91.0949,0.0732,272.259,0.42,70.5089,-162.64038,9038
AMBON2015_020,,,max,,,,,5.322,5.268,8.9933,8.9933,3.312187,3.311885,0,2.8107,0.0635,0,4.3016,0,1.5263,0.8046,30.53,0.3731,91.1985,0.0762,273.012,0.485,70.5089,-162.64036,9086
AMBON2015_020,5,15-Aug-15,mean,23.8456,23.8431,30.8169,30.8137,5.096,5.045,8.9924,8.9923,3.312124,3.3118,0,2.8149,0.0696,0,4.2987,0,1.5183,0.7781,30.37,0.3712,91.1377,0.0915,273.594,0.45,70.50891,-162.64024,9255
AMBON2015_020,,4:55:28,sdev,,,,,0.045,0.044,0.0003,0.0004,0.000024,0.000027,0,0.0008,0,0,0.0006,0,0.003,0.0112,0.06,0.0005,0.0125,0,0.263,0.0142,0.00001,0.00001,14
AMBON2015_020,,,min,,,,,4.97,4.919,8.9919,8.9912,3.312062,3.311704,0,2.8132,0.0696,0,4.2979,0,1.5116,0.7546,30.23,0.3708,91.1208,0.0915,273.149,0.422,70.5089,-162.64026,9231
AMBON2015_020,,,max,,,,,5.207,5.154,8.993,8.9929,3.312176,3.311833,0,2.8156,0.0696,0,4.2991,0,1.5238,0.8144,30.48,0.3719,91.1467,0.0915,273.899,0.498,70.50892,-162.64022,9279
AMBON2015_021,1,15-Aug-15,mean,24.6775,24.6752,31.2816,31.2786,31.722,31.398,5.4662,5.466,3.062632,3.062353,0,2.4025,0.0634,0.0012,3.6929,0,0.2168,0.9387,4.34,0.979,78.2908,0.076,244.833,0.694,70.62631,-162.24961,3438
AMBON2015_021,,20:12:25,sdev,,,,,0.076,0.076,0.0005,0.0009,0.000044,0.000078,0,0.0006,0.0012,0.0073,0.0037,0,0.0164,0.0115,0.33,0.0041,0.0795,0.003,0.332,0.021,0.00001,0.00001,14
AMBON2015_021,,,min,,,,,31.514,31.192,5.4652,5.4645,3.062519,3.062207,0,2.4017,0.0623,0,3.6899,0,0.1978,0.9255,3.96,0.9664,78.2263,0.0732,244.234,0.67,70.6263,-162.24962,3414
AMBON2015_021,,,max,,,,,31.853,31.527,5.4671,5.4681,3.062691,3.062525,0,2.4029,0.0647,0.0501,3.7045,0,0.2503,0.9658,5.01,0.9823,78.537,0.0793,245.147,0.744,70.62632,-162.2496,3462
AMBON2015_021,2,15-Aug-15,mean,24.2023,24.1943,31.1052,31.0979,20.093,19.888,8.1029,8.1186,3.265624,3.266247,0,2.7623,0.0844,0,4.2999,0,0.8107,2.0199,16.21,0.3701,91.1631,0.1285,272.282,9.38,70.62628,-162.24997,5324
AMBON2015_021,,20:13:43,sdev,,,,,0.059,0.058,0.0053,0.016,0.000415,0.000921,0,0.0006,0.0012,0,0.0176,0,0.0165,0.0038,0.33,0.0164,0.3739,0.003,0.483,0.0821,0,0.00001,14
AMBON2015_021,,,min,,,,,19.973,19.769,8.0938,8.0935,3.264924,3.264663,0,2.7619,0.083,0,4.2698,0,0.7924,2.0159,15.85,0.3515,90.5253,0.1251,271.769,9.29,70.62628,-162.24998,5300
AMBON2015_021,,,max,,,,,20.177,19.971,8.1107,8.142,3.266197,3.26749,0,2.7631,0.0855,0,4.3199,0,0.8413,2.0281,16.83,0.3982,91.5868,0.1312,273.237,9.56,70.62628,-162.24996,5348
AMBON2015_021,3,15-Aug-15,mean,24.0651,24.0629,31.0257,31.0227,9.562,9.464,8.6181,8.6174,3.300963,3.300618,0,2.8137,0.0702,0,4.2812,0,1.3118,2.5591,26.24,0.3875,90.7673,0.093,275.73,32.7,70.62627,-162.25031,7075
AMBON2015_021,,20:14:56,sdev,,,,,0.091,0.09,0.0002,0.0002,0.000043,0.00004,0,0.0009,0.0006,0,0.0011,0,0.0159,0.0033,0.32,0.001,0.0228,0.0015,0.206,0.251,0.00001,0.00001,14
AMBON2015_021,,,min,,,,,9.397,9.301,8.6172,8.6168,3.300821,3.300455,0,2.812,0.0696,0,4.2796,0,1.2955,2.5531,25.91,0.3845,90.7324,0.0915,275.345,32.2,70.62626,-162.25032,7051
AMBON2015_021,,,max,,,,,9.695,9.596,8.6183,8.6179,3.301044,3.300682,0,2.8144,0.0708,0,4.2845,0,1.3419,2.5629,26.84,0.389,90.836,0.0945,275.956,33,70.62628,-162.2503,7099
AMBON2015_021,4,15-Aug-15,mean,24.0603,24.0581,31.0179,31.0151,4.384,4.34,8.6086,8.6085,3.299202,3.298917,0,2.8134,0.0684,0,4.2677,0,1.5496,2.9138,30.99,0.4002,90.4804,0.0884,275.122,74.2,70.6262,-162.25073,8700
AMBON2015_021,,20:16:04,sdev,,,,,0.279,0.276,0.0002,0.0003,0.000028,0.000058,0,0.0005,0,0,0.0009,0,0.0182,0.0248,0.36,0.0008,0.0189,0,0.113,4.25,0,0.00001,14
AMBON2015_021,,,min,,,,,3.991,3.951,8.6081,8.6077,3.299142,3.298818,0,2.812,0.0684,0,4.2662,0,1.525,2.8718,30.5,0.3993,90.4476,0.0884,274.915,67.3,70.6262,-162.25074,8676
AMBON2015_021,,,max,,,,,4.858,4.809,8.6091,8.6092,3.299278,3.299075,0,2.8144,0.0684,0,4.2686,0,1.5897,2.9499,31.79,0.4016,90.4994,0.0884,275.423,80.6,70.6262,-162.25072,8724
AMBON2015_022,1,15-Aug-15,mean,24.8338,24.8317,31.4466,31.4438,34.668,34.312,5.2356,5.235,3.058273,3.057981,0,2.475,0.0558,0,3.313,0,0.1156,0.0098,2.31,1.4134,70.2339,0.0571,255.348,1E-12,70.7253,-161.94021,2865
AMBON2015_022,,22:32:05,sdev,,,,,0.261,0.258,0.0002,0.0006,0.000024,0.000033,0,0.0002,0.0017,0,0.0112,0,0.0195,0,0.39,0.0135,0.2385,0.0042,0.045,0,0,0.00001,14
AMBON2015_022,,,min,,,,,34.348,33.996,5.2352,5.2342,3.05822,3.057936,0,2.475,0.0537,0,3.3065,0,0.0891,0.0098,1.78,1.3713,70.096,0.0518,255.296,1E-12,70.7253,-161.94022,2841
AMBON2015_022,,,max,,,,,35.141,34.781,5.2361,5.2363,3.058331,3.058084,0,2.4762,0.0586,0,3.348,0,0.1538,0.0098,3.08,1.4212,70.9764,0.064,255.543,1E-12,70.7253,-161.9402,2889
AMBON2015_022,2,15-Aug-15,mean,24.8333,24.8312,31.4478,31.4451,30.593,30.279,5.2488,5.2479,3.059291,3.058975,0,2.4774,0.057,0,3.3978,0,0.3523,0.1589,7.05,1.3122,72.0332,0.06,255.526,0.0379,70.72512,-161.94022,4763
AMBON2015_022,,22:33:24,sdev,,,,,0.081,0.08,0.0005,0.0006,0.000038,0.000054,0,0.0004,0.0009,0,0.0116,0,0.0198,0.0134,0.4,0.0136,0.246,0.0022,0.082,0.00395,0.00001,0,14
AMBON2015_022,,,min,,,,,30.45,30.139,5.2476,5.247,3.059217,3.058849,0,2.4762,0.0562,0,3.3846,0,0.3321,0.1209,6.64,1.2961,71.7532,0.0579,255.271,0.027,70.7251,-161.94022,4739
AMBON2015_022,,,max,,,,,30.708,30.394,5.2497,5.2488,3.059361,3.05907,0,2.4786,0.0598,0,3.4115,0,0.3932,0.1758,7.86,1.3278,72.3228,0.0671,255.735,0.0431,70.72512,-161.94022,4787
AMBON2015_022,3,15-Aug-15,mean,24.8319,24.8295,31.435,31.4322,23.056,22.82,5.1686,5.1698,3.051213,3.051067,0,2.4639,0.057,0,3.3746,0,0.7595,0.9588,15.19,1.3396,71.5418,0.06,253.929,0.731,70.72488,-161.94012,7268
AMBON2015_022,,22:35:08,sdev,,,,,0.09,0.089,0.0011,0.003,0.000125,0.000299,0,0.0004,0.001,0,0.0107,0,0.0178,0.0141,0.36,0.0126,0.2264,0.0024,0.076,0.0273,0,0,14
AMBON2015_022,,,min,,,,,22.867,22.633,5.1658,5.1636,3.050904,3.050482,0,2.4628,0.0562,0,3.3663,0,0.7387,0.9414,14.77,1.3119,71.3648,0.0579,253.692,0.698,70.72488,-161.94012,7244
AMBON2015_022,,,max,,,,,23.213,22.975,5.1708,5.1751,3.051464,3.05165,0,2.464,0.0586,0,3.398,0,0.7937,0.9963,15.87,1.3495,72.038,0.064,253.997,0.805,70.72488,-161.94012,7292
AMBON2015_022,4,15-Aug-15,mean,24.0586,24.0565,31.0182,31.0154,10.837,10.726,8.6227,8.6217,3.300681,3.300332,0,2.8401,0.0682,0,4.3063,0,1.4102,1.7146,28.2,0.3642,91.2978,0.0879,278.446,4.6,70.72466,-161.94012,9853
AMBON2015_022,,22:36:56,sdev,,,,,0.075,0.074,0.0002,0.0003,0.000023,0.000037,0,0.0003,0.0017,0,0.0018,0,0.0113,0.0075,0.23,0.0016,0.0379,0.0042,0.047,0.0808,0,0,14
AMBON2015_022,,,min,,,,,10.738,10.629,8.6224,8.6212,3.300644,3.300268,0,2.84,0.0659,0,4.3028,0,1.3956,1.6972,27.91,0.3617,91.2244,0.0823,278.417,4.41,70.72466,-161.94012,9829
AMBON2015_022,,,max,,,,,11.036,10.924,8.623,8.6224,3.300753,3.300426,0,2.8413,0.0696,0,4.3089,0,1.4322,1.7228,28.64,0.3674,91.3538,0.0915,278.629,4.69,70.72466,-161.94012,9877
AMBON2015_022,5,15-Aug-15,mean,24.059,24.0568,31.0191,31.0162,5.257,5.204,8.6243,8.6236,3.300671,3.300333,0,2.8431,0.067,0,4.3057,0,1.5817,2.0198,31.63,0.3647,91.2856,0.085,278.633,9.38,70.72453,-161.94006,11308
AMBON2015_022,,22:37:56,sdev,,,,,0.126,0.125,0.0002,0.0002,0.000029,0.000029,0,0.0007,0.0012,0,0.0006,0,0.0174,0.0116,0.35,0.0005,0.0126,0.003,0.308,0.251,0.00001,0.00001,14
AMBON2015_022,,,min,,,,,5.082,5.03,8.6238,8.6232,3.30062,3.300295,0,2.8413,0.0659,0,4.3053,0,1.558,1.9939,31.16,0.364,91.2761,0.0823,278.08,8.83,70.72452,-161.94006,11284
AMBON2015_022,,,max,,,,,5.549,5.492,8.6249,8.6242,3.300728,3.300406,0,2.8437,0.0684,0,4.3065,0,1.6154,2.0342,32.31,0.3651,91.302,0.0884,279.035,9.7,70.72454,-161.94006,11332
AMBON2015_023,1,16-Aug-15,mean,25.0427,25.0406,31.6685,31.6658,40.033,39.622,4.9302,4.9297,3.052631,3.052349,0,2.597,0.0654,0,3.4455,0,0.141,0.0098,2.82,1.2564,73.0446,0.0809,273.329,1E-12,70.84301,-161.539,3197
AMBON2015_023,,1:50:51,sdev,,,,,0.157,0.156,0.0005,0.0002,0.000064,0.000042,0,0.0003,0.0037,0,0.0101,0,0.0113,0,0.23,0.0118,0.2141,0.0093,0.103,0,0.00001,0.00001,14
AMBON2015_023,,,min,,,,,39.797,39.388,4.9296,4.9291,3.052518,3.052264,0,2.5958,0.0611,0,3.4298,0,0.1258,0.0098,2.52,1.2463,72.7112,0.0701,273.015,1E-12,70.843,-161.53902,3173
AMBON2015_023,,,max,,,,,40.339,39.925,4.9316,4.9301,3.052728,3.052428,0,2.5971,0.0708,0,3.4542,0,0.1648,0.0098,3.3,1.2747,73.229,0.0945,273.446,1E-12,70.84302,-161.539,3221
AMBON2015_023,2,16-Aug-15,mean,25.0182,25.0162,31.6357,31.6331,30.553,30.24,4.9154,4.9153,3.04814,3.047906,0,2.5674,0.0639,0,3.3568,0,0.6258,0.0098,12.52,1.3608,71.1635,0.0772,268.759,1E-12,70.84271,-161.53867,5290
AMBON2015_023,,1:52:18,sdev,,,,,0.039,0.038,0.0001,0.0006,0.000022,0.000139,0,0.0008,0.0018,0,0.0117,0,0.0114,0,0.23,0.014,0.249,0.0045,0.308,0,0.00001,0.00002,14
AMBON2015_023,,,min,,,,,30.456,30.144,4.9152,4.9142,3.048069,3.047664,0,2.5665,0.0623,0,3.3309,0,0.6129,0.0098,12.26,1.3451,70.6139,0.0732,268.384,1E-12,70.8427,-161.5387,5266
AMBON2015_023,,,max,,,,,30.653,30.339,4.9159,4.9167,3.048191,3.048135,0,2.569,0.0659,0,3.37,0,0.6484,0.0098,12.97,1.3918,71.4424,0.0823,269.381,1E-12,70.84272,-161.53864,5314
AMBON2015_023,3,16-Aug-15,mean,24.9923,25.0073,31.6152,31.6241,21.562,21.342,5.0054,4.9311,3.053424,3.04804,0,2.5845,0.0645,0,3.5307,0,1.0539,0.0098,21.08,1.1601,74.8507,0.0785,271.303,1E-12,70.84226,-161.53891,7406
AMBON2015_023,,1:53:46,sdev,,,,,0.257,0.255,0.1455,0.0307,0.009934,0.002102,0,0.0021,0.0033,0,0.095,0,0.0139,0,0.28,0.1059,2.015,0.0083,0.717,0,0,0.00001,14
AMBON2015_023,,,min,,,,,21.064,20.848,4.913,4.9128,3.047059,3.046744,0,2.5812,0.0611,0,3.4652,0,1.0366,0.0098,20.73,0.9651,73.4621,0.0701,270.512,1E-12,70.84226,-161.53892,7382
AMBON2015_023,,,max,,,,,21.863,21.64,5.3661,5.0193,3.076827,3.054548,0,2.5873,0.0745,0,3.7057,0,1.0842,0.0098,21.68,1.2336,78.5629,0.1037,272.433,1E-12,70.84226,-161.5389,7430
AMBON2015_023,4,16-Aug-15,mean,23.8192,23.8173,30.7329,30.7305,11.06,10.947,8.7308,8.7311,3.282308,3.282106,0,2.8486,0.0647,0,4.3109,0,1.5931,0.052,31.86,0.3598,91.3971,0.0793,279.501,0.00949,70.84209,-161.53898,9324
AMBON2015_023,,1:55:06,sdev,,,,,0.181,0.179,0.0014,0.0013,0.000201,0.00019,0,0,0,0,0.0012,0,0.0169,0.0154,0.34,0.0011,0.025,0,0.113,0.0036,0.00001,0,14
AMBON2015_023,,,min,,,,,10.683,10.574,8.7284,8.7283,3.281949,3.281629,0,2.8486,0.0647,0,4.3101,0,1.5702,0.0147,31.4,0.3572,91.3797,0.0793,279.299,0.00102,70.84208,-161.53898,9300
AMBON2015_023,,,max,,,,,11.334,11.218,8.733,8.7327,3.282666,3.282346,0,2.8486,0.0647,0,4.3138,0,1.6349,0.0928,32.7,0.3606,91.4574,0.0793,279.644,0.0195,70.8421,-161.53898,9348
AMBON2015_023,5,16-Aug-15,mean,23.8214,23.8192,30.7358,30.7328,2.978,2.948,8.7304,8.73,3.282227,3.281909,0,2.8477,0.0655,0,4.3093,0,0.1326,0.5678,2.65,0.3613,91.3628,0.0812,279.135,0.243,70.84178,-161.53829,10961
AMBON2015_023,,1:56:14,sdev,,,,,0.073,0.072,0.0004,0.0004,0.000035,0.000039,0,0.0005,0.0006,0,0.0021,0,0.0223,0.0396,0.45,0.002,0.0444,0.0015,0.083,0.0311,0,0.00001,14
AMBON2015_023,,,min,,,,,2.805,2.776,8.7296,8.7289,3.282157,3.281807,0,2.8474,0.0647,0,4.3065,0,0.0965,0.4799,1.93,0.3572,91.302,0.0793,278.949,0.181,70.84178,-161.53832,10937
AMBON2015_023,,,max,,,,,3.103,3.071,8.7311,8.7308,3.282311,3.281999,0,2.8486,0.0659,0,4.3138,0,0.1795,0.6642,3.59,0.364,91.4574,0.0823,279.275,0.325,70.84178,-161.53828,10985
AMBON2015_024,1,16-Aug-15,mean,25.1731,25.171,31.5731,31.5704,36.312,35.939,2.7224,2.7206,2.863382,2.863011,0,2.6724,0.0668,0,3.4173,0,0.0835,0.0098,1.67,1.2893,72.447,0.0844,300.652,1E-12,70.95932,-161.13935,4412
AMBON2015_024,,4:59:46,sdev,,,,,0.117,0.116,0.0048,0.0016,0.000377,0.000128,0,0.0006,0.001,0,0.0119,0,0.0239,0,0.48,0.0139,0.2521,0.0024,0.342,0,0,0.00001,14
AMBON2015_024,,,min,,,,,36.103,35.732,2.7126,2.7167,2.862601,2.862698,0,2.6716,0.0659,0,3.3956,0,0.0562,0.0098,1.12,1.2776,71.9862,0.0823,299.938,1E-12,70.95932,-161.13936,4388
AMBON2015_024,,,max,,,,,36.503,36.128,2.731,2.7235,2.864066,2.863252,0,2.6728,0.0684,0,3.4274,0,0.1306,0.0098,2.61,1.3148,72.6594,0.0884,301.035,1E-12,70.95932,-161.13934,4436
AMBON2015_024,2,16-Aug-15,mean,25.1715,25.1694,31.5734,31.5708,29.597,29.294,2.7449,2.7447,2.864941,2.864707,0,2.6714,0.0599,0,3.3588,0,0.4421,0.0098,8.84,1.3584,71.2052,0.0672,300.575,1E-12,70.95928,-161.13979,6015
AMBON2015_024,,5:00:53,sdev,,,,,0.383,0.379,0.0014,0.0016,0.000105,0.000128,0,0.0011,0.0012,0,0.0038,0,0.0258,0,0.51,0.0045,0.0811,0.003,0.453,0,0,0.00002,14
AMBON2015_024,,,min,,,,,29.054,28.756,2.742,2.7411,2.864697,2.864424,0,2.6691,0.0586,0,3.3541,0,0.4078,0.0098,8.16,1.3524,71.1058,0.064,299.787,1E-12,70.95928,-161.1398,5991
AMBON2015_024,,,max,,,,,30.158,29.849,2.7463,2.7465,2.865043,2.864872,0,2.6728,0.0611,0,3.3639,0,0.4921,0.0098,9.84,1.364,71.313,0.0701,301.146,1E-12,70.95928,-161.13976,6039
AMBON2015_024,3,16-Aug-15,mean,24.7687,24.7938,31.2849,31.2996,21.321,21.103,4.6422,4.5106,2.994752,2.985256,0,2.896,0.1008,0,4.3023,0,0.8361,0.1062,16.72,0.368,91.2122,0.1694,326.307,0.023,70.95916,-161.14042,8079
AMBON2015_024,,5/2/2019,sdev,,,,,0.155,0.154,0.9846,0.8123,0.065679,0.052015,0,0.006,0.0042,0,0.0347,0,0.025,0.0126,0.5,0.0323,0.7356,0.0104,7.933,0.00337,0,0.00001,14
AMBON2015_024,,,min,,,,,21.016,20.801,3.3229,3.3814,2.908376,2.913626,0,2.8767,0.094,0,4.2259,0,0.8046,0.0891,16.09,0.3279,89.5931,0.1525,312.189,0.0185,70.95916,-161.14042,8055
AMBON2015_024,,,max,,,,,21.518,21.298,6.3458,5.7099,3.110141,3.065637,0,2.9035,0.1062,0,4.3455,0,0.8877,0.1368,17.75,0.4396,92.1306,0.1831,337.309,0.0314,70.95916,-161.1404,8103
AMBON2015_024,4,16-Aug-15,mean,23.5832,23.5826,30.4251,30.4248,10.682,10.573,8.6981,8.7006,3.249888,3.250074,0,2.8466,0.0669,0,4.3233,0,1.3632,0.5011,27.26,0.3484,91.6587,0.0847,279.941,0.194,70.95912,-161.14098,10266
AMBON2015_024,,5/3/1950,sdev,,,,,0.156,0.155,0.0086,0.0075,0.001252,0.001177,0,0.0006,0.0012,0,0.0031,0,0.0231,0.0104,0.46,0.0029,0.0663,0.003,0.194,0.00687,0,0,14
