Station,Bottle #,Date UTC,data type,sigma-t,sigma-t (2),salinity,salinity (2),depth (m),depth (m),temperature,temperature-2,conductivity-1,conductivity=2,V0,V1,V2,V3,V4,V5,V6,V7,altimeter (m),beam attenuation,beam transmission,fluorescence,oxygen (�mols kg-1),PAR,latitude,longitude,
AMBON2015_001,7,10-Aug-15,mean,24.031,24.0287,30.9206,30.9177,2.031,2.011,8.2868,8.2865,3.262757,3.262454,0,2.8632,0.0497,0,4.4657,0,2.442,1.5575,48.84,0.2188,94.6781,0.0418,283.329,3.18,70.92514,-159.93778,12114
AMBON2015_001,,1/3/2003,sdev,,,,,0.073,0.072,0.0018,0.0014,0.000139,0.000133,0,0.0004,0.0006,0,0.0015,0,0.009,0.0335,0.18,0.0014,0.0329,0.0014,0.078,0.244,0,0.00001,14
AMBON2015_001,,,min,,,,,1.843,1.824,8.2834,8.2829,3.262484,3.262045,0,2.862,0.0488,0,4.464,0,2.431,1.4725,48.62,0.217,94.6422,0.0396,283.097,2.59,70.92514,-159.93778,12090
AMBON2015_001,,,max,,,,,2.148,2.126,8.29,8.2894,3.262996,3.26269,0,2.8645,0.0501,0,4.4676,0,2.4603,1.6142,49.21,0.2203,94.7198,0.0427,283.536,3.63,70.92514,-159.93776,12138
AMBON2015_001,8,10-Aug-15,mean,24.0307,24.0287,30.9202,30.9172,2.007,1.987,8.2862,8.2843,3.262673,3.262226,0,2.8622,0.0491,0,4.4621,0,2.458,1.5554,49.16,0.222,94.6015,0.0404,282.948,3.16,70.92514,-159.9377,12295
AMBON2015_001,,1/3/2010,sdev,,,,,0.083,0.082,0.0015,0.0012,0.000132,0.000111,0,0.0008,0.0008,0,0.0015,0,0.0092,0.0235,0.18,0.0014,0.0322,0.002,0.2,0.179,0,0,14
AMBON2015_001,,,min,,,,,1.829,1.811,8.2837,8.2817,3.262428,3.261923,0,2.8608,0.0488,0,4.4603,0,2.442,1.5214,48.84,0.2203,94.5645,0.0396,282.594,2.91,70.92514,-159.9377,12271
AMBON2015_001,,,max,,,,,2.127,2.106,8.2895,8.2858,3.262984,3.262359,0,2.8632,0.0513,0,4.464,0,2.4774,1.6044,49.55,0.2236,94.6422,0.0457,283.276,3.55,70.92514,-159.9377,12319
AMBON2015_001,9,10-Aug-15,mean,24.0301,24.0278,30.9203,30.9172,2.211,2.188,8.2909,8.2903,3.263082,3.262734,0,2.862,0.0496,0,4.4637,0,2.4525,1.5324,49.05,0.2206,94.6348,0.0416,283.659,2.99,70.92514,-159.9377,12452
AMBON2015_001,,1/3/2017,sdev,,,,,0.056,0.055,0.0009,0.0004,0.000065,0.000047,0,0.0009,0.0006,0,0.0016,0,0.0105,0.0147,0.21,0.0014,0.0338,0.0015,0.118,0.105,0,0.00001,14
AMBON2015_001,,,min,,,,,2.093,2.072,8.2884,8.2894,3.262933,3.262661,0,2.8608,0.0488,0,4.4628,0,2.4335,1.5067,48.67,0.217,94.6163,0.0396,283.351,2.81,70.92514,-159.9377,12428
AMBON2015_001,,,max,,,,,2.344,2.32,8.2926,8.2915,3.263246,3.26283,0,2.8632,0.0501,0,4.4676,0,2.4737,1.5617,49.47,0.2214,94.7198,0.0427,283.866,3.21,70.92514,-159.93768,12476
AMBON2015_001,10,10-Aug-15,mean,24.0315,24.0295,30.9203,30.9175,1.98,1.96,8.2816,8.2803,3.262296,3.261916,0,2.8605,0.0491,0,4.4661,0,2.4549,1.5545,49.1,0.2184,94.6866,0.0404,282.315,3.16,70.92512,-159.93763,12616
AMBON2015_001,,1/3/2024,sdev,,,,,0.053,0.052,0.0021,0.0015,0.000179,0.000133,0,0.0006,0.0006,0,0.0016,0,0.0103,0.0305,0.2,0.0015,0.0342,0.0014,0.301,0.229,0,0.00002,14
AMBON2015_001,,,min,,,,,1.897,1.878,8.2771,8.2778,3.261877,3.261661,0,2.8596,0.0488,0,4.464,0,2.4371,1.5043,48.74,0.217,94.6422,0.0396,281.889,2.8,70.92512,-159.93766,12592
AMBON2015_001,,,max,,,,,2.093,2.072,8.2861,8.2843,3.262672,3.262242,0,2.862,0.0501,0,4.4676,0,2.4762,1.6105,49.52,0.2203,94.7198,0.0427,282.887,3.6,70.92512,-159.9376,12640
AMBON2015_001,11,10-Aug-15,mean,24.0308,24.0285,30.9198,30.9168,2.023,2.003,8.2836,8.2833,3.262418,3.262105,0,2.8645,0.0488,0,4.464,0,2.4407,1.5421,48.81,0.2203,94.6422,0.0396,283.568,3.07,70.92512,-159.93752,12772
AMBON2015_001,,1/3/1930,sdev,,,,,0.095,0.094,0.0013,0.0006,0.00011,0.000058,0,0.0002,0,0,0.0011,0,0.0201,0.0365,0.4,0.001,0.0242,0,0.142,0.257,0,0,14
AMBON2015_001,,,min,,,,,1.897,1.878,8.2808,8.2818,3.262172,3.261975,0,2.8645,0.0488,0,4.4628,0,2.4005,1.4603,48.01,0.2181,94.6163,0.0396,283.449,2.52,70.92512,-159.93754,12748
AMBON2015_001,,,max,,,,,2.242,2.22,8.2852,8.2844,3.262558,3.262202,0,2.8657,0.0488,0,4.4664,0,2.475,1.5971,49.5,0.2214,94.694,0.0396,283.97,3.49,70.92512,-159.93752,12796
AMBON2015_001,12,10-Aug-15,mean,24.0312,24.0288,30.9199,30.9169,2.19,2.168,8.2817,8.2817,3.262271,3.261984,0,2.8617,0.05,0,4.4605,0,2.4647,1.4912,49.29,0.2234,94.5682,0.0424,282.758,2.72,70.9251,-159.93742,12936
AMBON2015_001,,1/3/1937,sdev,,,,,0.1,0.099,0.0016,0.0006,0.000114,0.000044,0,0.0009,0.0004,0,0.0033,0,0.0089,0.0285,0.18,0.003,0.0713,0.0009,0.27,0.174,0,0,14
AMBON2015_001,,,min,,,,,1.931,1.911,8.2781,8.2802,3.262019,3.261882,0,2.8608,0.0488,0,4.4567,0,2.453,1.4029,49.06,0.2192,94.4868,0.0396,282.416,2.2,70.9251,-159.93742,12912
AMBON2015_001,,,max,,,,,2.344,2.32,8.2845,8.2831,3.262479,3.262091,0,2.8632,0.0501,0,4.4652,0,2.486,1.5336,49.72,0.2268,94.6681,0.0427,283.208,3,70.9251,-159.93742,12960
AMBON2015_001,13,10-Aug-15,mean,24.0313,24.029,30.9197,30.9167,1.989,1.969,8.2794,8.2793,3.262048,3.261764,0,2.8611,0.0492,0,4.4604,0,2.4464,1.5564,48.93,0.2235,94.5661,0.0406,283.344,3.17,70.9251,-159.93738,13090
AMBON2015_001,,1/3/1943,sdev,,,,,0.047,0.046,0.0025,0.0016,0.0002,0.000123,0,0.0006,0.0006,0,0.0015,0,0.0185,0.0186,0.37,0.0013,0.0315,0.0015,0.082,0.138,0,0,14
AMBON2015_001,,,min,,,,,1.877,1.858,8.2737,8.2759,3.26161,3.261498,0,2.8596,0.0488,0,4.4591,0,2.4066,1.5116,48.13,0.2203,94.5386,0.0396,283.113,2.85,70.9251,-159.93738,13066
AMBON2015_001,,,max,,,,,2.08,2.059,8.2826,8.2825,3.262337,3.26201,0,2.862,0.0501,0,4.464,0,2.4786,1.5849,49.57,0.2246,94.6422,0.0427,283.517,3.39,70.9251,-159.93736,13114
AMBON2015_001,14,10-Aug-15,mean,24.0314,24.0291,30.9199,30.9168,2.128,2.107,8.28,8.2796,3.262127,3.261803,0,2.8634,0.0495,0,4.4648,0,1.0807,1.5208,21.62,0.2196,94.6596,0.0412,283.166,2.92,70.9251,-159.93729,13271
AMBON2015_001,,1/3/1951,sdev,,,,,0.048,0.048,0.0003,0.0004,0.00003,0.000034,0,0.0007,0.0007,0,0.0016,0,1.0082,0.0313,20.16,0.0015,0.0344,0.0016,0.195,0.215,0,0.00001,14
AMBON2015_001,,,min,,,,,1.999,1.978,8.2794,8.2789,3.262064,3.261737,0,2.862,0.0488,0,4.4615,0,0.2332,1.475,4.66,0.217,94.5904,0.0396,282.852,2.61,70.9251,-159.9373,13247
AMBON2015_001,,,max,,,,,2.195,2.173,8.2807,8.2802,3.262183,3.261894,0,2.8645,0.0501,0,4.4676,0,2.5287,1.5617,50.57,0.2225,94.7198,0.0427,283.499,3.21,70.9251,-159.93728,13295
AMBON2015_001,15,10-Aug-15,mean,24.0322,24.0298,30.9198,30.9169,2.114,2.092,8.2745,8.2751,3.261662,3.261433,0,2.8627,0.0495,0,4.4659,0,2.4756,1.5215,49.51,0.2186,94.6824,0.0412,283.267,2.92,70.9251,-159.93722,13481
AMBON2015_001,,1/4/2000,sdev,,,,,0.054,0.053,0.0016,0.001,0.000137,0.000081,0,0.0006,0.0007,0,0.0011,0,0.0072,0.0247,0.14,0.001,0.0231,0.0016,0.232,0.169,0,0.00001,14
AMBON2015_001,,,min,,,,,1.999,1.978,8.2708,8.2734,3.261354,3.261312,0,2.862,0.0488,0,4.4628,0,2.4664,1.4762,49.33,0.2181,94.6163,0.0396,282.916,2.62,70.9251,-159.93722,13457
AMBON2015_001,,,max,,,,,2.195,2.173,8.2773,8.2776,3.261933,3.261632,0,2.8632,0.0501,0,4.4664,0,2.4908,1.558,49.82,0.2214,94.694,0.0427,283.593,3.18,70.9251,-159.9372,13505
AMBON2015_002,1,11-Aug-15,mean,26.0106,26.0081,32.7452,32.742,44.053,43.608,3.8206,3.8196,3.052161,3.051811,0,2.4091,0.0612,0,2.5512,0,0.1877,0.0098,3.75,2.4595,54.0786,0.0704,253.748,1E-12,67.66826,-168.95476,3752
AMBON2015_002,,20:20:24,sdev,,,,,0.265,0.262,0.0003,0.0002,0.00002,0.000017,0,0.0005,0.0012,0,0.0453,0,0.0146,0,0.29,0.0709,0.9607,0.003,0.153,0,0,0,14
AMBON2015_002,,,min,,,,,43.603,43.163,3.8201,3.8191,3.052115,3.051777,0,2.4078,0.0598,0,2.4884,0,0.1709,0.0098,3.42,2.3688,52.748,0.0671,253.441,1E-12,67.66826,-168.95476,3728
AMBON2015_002,,,max,,,,,44.463,44.015,3.8212,3.82,3.052203,3.051851,0,2.4103,0.0623,0,2.6093,0,0.2186,0.0098,4.37,2.5586,55.3114,0.0732,254.116,1E-12,67.66826,-168.95476,3776
AMBON2015_002,2,11-Aug-15,mean,26.0105,26.0081,32.745,32.7419,44.251,43.805,3.8198,3.8187,3.052087,3.051729,0,2.4103,0.0627,0,2.4632,0,0.1615,0.0098,3.23,2.5996,52.2133,0.0744,254.152,1E-12,67.6683,-168.95478,4065
AMBON2015_002,,20:20:37,sdev,,,,,0.078,0.077,0.0004,0.0004,0.000039,0.000028,0,0.0009,0.0026,0,0.0265,0,0.0172,0,0.34,0.043,0.5629,0.0066,0.486,0,0,0,14
AMBON2015_002,,,min,,,,,44.097,43.653,3.8189,3.818,3.051998,3.051669,0,2.409,0.0586,0,2.4371,0,0.1355,0.0098,2.71,2.5429,51.6605,0.064,253.416,1E-12,67.6683,-168.95478,4041
AMBON2015_002,,,max,,,,,44.362,43.914,3.8204,3.8193,3.052153,3.051777,0,2.4115,0.0647,0,2.4982,0,0.2051,0.0098,4.1,2.6419,52.9552,0.0793,254.802,1E-12,67.6683,-168.95478,4089
AMBON2015_002,3,11-Aug-15,mean,26.0106,26.0082,32.7451,32.742,43.956,43.512,3.8201,3.8193,3.052108,3.05178,0,2.4089,0.0609,0,2.6988,0,0.1471,0.0098,2.94,2.234,57.2105,0.0698,254.331,1E-12,67.66836,-168.95474,4334
AMBON2015_002,,20:20:49,sdev,,,,,0.052,0.051,0.0001,0.0001,0.00002,0.000015,0,0.0008,0.0016,0,0.0283,0,0.0168,0,0.33,0.0419,0.6003,0.004,0.266,0,0,0,14
