Station Number,Station Name,Date,Latitude,Longitude,Depth (m),Temperature,Salinity,Bottle #,Chla Conc (ug/L),Ammonia [µmol/L],Phosphate [µmol/L],Nitrite + Nitrate [µmol/L],Silicate [µmol/L],delta O-18
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,44,3.82,32.75,1,,,,,,
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,44,3.82,32.75,2,,,,,,
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,44,3.82,32.75,3,,,,,,
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,44,3.82,32.75,4,,,,,,
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,44,3.82,32.75,5,1.16,3.49,2.03,17,39.86,-0.57
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,31,3.82,32.75,6,1.56,3.28,2.04,17.43,41.99,-0.62
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,21,3.83,32.75,7,2.92,3.1,2.1,16.57,40.21,-1.15
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,18,4.68,32.7,8,9.63,,,,,
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,10,6.04,32.65,9,15.58,0.26,0.18,0.5,2.85,-1.09
AMBON2015_002, DBO3.8,20150812,67.667,-168.955,5,6.04,32.65,10,9.89,0.31,0.18,0.19,2.85,-1.21
AMBON2015_003, DBO3.7,20150812,67.784,-168.605,43,3.92,32.69,1,,,,,,
AMBON2015_003, DBO3.7,20150812,67.784,-168.605,31,3.92,32.69,2,1.82,3.82,2.17,16.29,44.13,-1.23
AMBON2015_003, DBO3.7,20150812,67.784,-168.605,21,4.81,32.68,3,9.54,2.08,1.48,8.5,25.27,-1.38
AMBON2015_003, DBO3.7,20150812,67.784,-168.605,11,5.56,32.69,4,20.7,0.39,0.28,0.31,5.69,-1.22
AMBON2015_003, DBO3.7,20150812,67.784,-168.605,5,5.57,32.69,5,21.09,0.84,0.55,0.24,5.69,-1.14
AMBON2015_003, DBO3.7,20150812,67.784,-168.605,5,5.57,32.69,6,,,,,,
AMBON2015_004, DBO3.6,20150812,67.897,-168.237,54,4.18,32.6,1,1.9,4.36,1.95,12.79,44.84,-0.39
AMBON2015_004, DBO3.6,20150812,67.897,-168.237,54,4.19,32.6,2,,,,,,
AMBON2015_004, DBO3.6,20150812,67.897,-168.237,39,4.25,32.59,3,1.12,4.02,1.78,13,41.99,-0.48
