,datasetID,eventID,occurrenceID,eventDate,verbatimDepth,decimalLatitude,decimalLongitude,scientificName,scientificNameID,taxonID,nomenclaturalCode,basisOfRecord
21,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_1289,2017-08-20T22:48:00,12,69.3443,-163.5095,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,106656,WoRMS,HumanObservation
22,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_3710,2017-08-20T22:48:00,12,69.3443,-163.5095,Centropages abdominalis,urn:lsid:marinespecies.org:taxname:196774,196774,WoRMS,HumanObservation
23,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_9538,2017-08-20T22:48:00,12,69.3443,-163.5095,Polychaeta,urn:lsid:marinespecies.org:taxname:883,883,WoRMS,HumanObservation
24,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_1597,2017-08-17T15:24:00,13,70.0357,-162.766,Pisces,urn:lsid:marinespecies.org:taxname:11676,11676,WoRMS,HumanObservation
25,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_8626,2017-08-17T15:24:00,13,70.0357,-162.766,Isopoda,urn:lsid:marinespecies.org:taxname:1131,1131,WoRMS,HumanObservation
26,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_5965,2017-08-17T15:24:00,13,70.0357,-162.766,Rotifera,urn:lsid:marinespecies.org:taxname:1426,1426,WoRMS,HumanObservation
27,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_2296,2017-08-17T15:24:00,13,70.0357,-162.766,Harpacticoida,urn:lsid:marinespecies.org:taxname:1102,1102,WoRMS,HumanObservation
28,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_7369,2017-08-17T15:24:00,13,70.0357,-162.766,Harpacticoida,urn:lsid:marinespecies.org:taxname:1102,1102,WoRMS,HumanObservation
29,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_3050,2017-08-17T15:24:00,13,70.0357,-162.766,Cyclopoida,urn:lsid:marinespecies.org:taxname:1101,1101,WoRMS,HumanObservation
30,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_9245,2017-08-17T15:24:00,13,70.0357,-162.766,Calanus glacialis/marshallae,urn:lsid:marinespecies.org:taxname:19677,19677,WoRMS,HumanObservation
