taxon,species2015,species2017
Retifusus roseus,,Retifusus roseus
Volutopsius,Volutopsius sp. ,Volutopsius
Volutopsius,Buccinidae cf. Volutopsius,
Calycidoris guentheri,Calycidoris guentheri,Calycidoris guentheri
Dendronotus,Dendronotus sp.,Dendronotus
Flabellina,,Flabellina
Tritonia,Tritonia sp.,Tritonia
other.unid,Nudibranchia,
Bathypolypus arcticus,Bathypolypus arcticus,Bathypolypus arcticus
Opisthobranchia,Opisthobranchia,
Lepeta caeca,Lepeta caeca,Lepeta caeca
Lepeta caeca,Lepeta sp.,
Chlamys behringiana,Chlamys behringiana,Chlamys behringiana
Pandora glacialis,Pandora glacialis,
Margarites costalis,Margarites costalis,Margarites costalis
Margarites groenlandicus,,Margarites groenlandicus
Margarites helicinus,Margarites helicinus,Margarites helicinus
other.unid,Margarites sp.,
Solariella obscura,Solariella obscura,Solariella obscura
Nemertea,Nemertea,Nemertea
Playhelminthes,Playhelminthes,Platyhelminthes
Polymastia,Polymastia sp.,
Priapulus caudatus,,Priapulus caudatus
Golfingia margaritacea,,Golfingia (Golfingia) margaritacea
Phascolion strombus strombus,,Phascolion (Phascolion) strombus strombus
Sipuncula,Sipuncula,Sipuncula
Dulichia spinosissima,Dulichia spinosissima,
Unciola leucopis,Unciola leucopis,
Balanus,,Balanus nubilus
Balanus,,Balanus glandula
Balanus,Balanus sp.,
Dendrobeania,Dendrobeania sp.,Dendrobeania
Eucratea,,Eucratea loricata
Eucratea,Eucratea sp.,
Alcyonidium gelatinosum,Alcyonidium gelatinosum,Alcyonidium gelatinosum
Alcyonidium disciforme,Alcyonidium disciforme,Alcyonidium disciforme
Heteropora,Heteropora sp.,Heteropora
other.unid,Bryozoa,Bryozoa
Distaplia alaskensis,Distaplia alaskensis,
Distaplia occidentalis,Distaplia occidentalis,
Didemnum albidum,Didemnum albidum,Didemnum albidum
Eudistoma parvum,Eudistoma parvum,Eudistoma parvum
Gersemia rubiformis,Gersemia rubiformis,Gersemia rubiformis
Lafoeina maxima,Lafoeina maxima,Lafoeina maxima
other.unid,Hydrozoa,Hydrozoa
Cylichnoides occultus,Cylichnoides occultus,
Volutopsius,Volutopsius,
Curtitoma decussata,Curtitoma decussata,
other.unid,Gastropoda,
Platyhelminthes,Platyhelminthes,
Haliclona sp.,Haliclona sp.,
Semisuberites cribrosa,Semisuberites cribrosa,Semisuberites cribrosa
Halichondria,,Halichondria (Halichondria) panicea
Halichondria,Halichondria sp.,
Suberites,,Suberites virgultosus
Suberites,Suberites sp,
Hexactinellida,Hexactinellida,
other.unid,Porifera,Porifera
Diplosoma listerianum,,Diplosoma listerianum
Trididemnum,,Trididemnum
Synoicum pulmonaria,,Synoicum pulmonaria
Botrylloides aureus,,Botrylloides aureus
Polyclinum,,Polyclinum
